Path,Type,Arguments,Return_Annotation,Summary (Docstring)
neuralforecast.models.fedformer.EncoderLayer,type,"attention, hidden_size, conv_hidden_size, MovingAvg, dropout, activation",,FEDformer encoder layer with the progressive decomposition architecture
neuralforecast.models.fedformer.FEDformer,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, decoder_input_size_multiplier, version, modes, mode_select, hidden_size, dropout, n_head, conv_hidden_size, activation, encoder_layers, decoder_layers, MovingAvg_window, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,FEDformer
neuralforecast.models.fedformer.FourierBlock,type,"in_channels, out_channels, seq_len, modes, mode_select_method",,Fourier block
neuralforecast.models.fedformer.FourierCrossAttention,type,"in_channels, out_channels, seq_len_q, seq_len_kv, modes, mode_select_method, activation, policy",,Fourier Cross Attention layer
neuralforecast.models.fedformer.LayerNorm,type,channels,,Special designed layernorm for the seasonal part
neuralforecast.models.fedformer.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.fedformer.SeriesDecomp,type,kernel_size,,Series decomposition block
neuralforecast.models.fedformer.get_frequency_modes,function,"seq_len, modes, mode_select_method",,Get modes on frequency domain:
neuralforecast.models.gru.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.gru.GRU,type,"h, input_size, inference_input_size, h_train, encoder_n_layers, encoder_hidden_size, encoder_activation, encoder_bias, encoder_dropout, context_size, decoder_hidden_size, decoder_layers, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, recurrent, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,GRU
neuralforecast.models.gru.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.gru.MLP,type,"in_features, out_features, activation, hidden_size, num_layers, dropout",,Multi-Layer Perceptron Class
neuralforecast.models.hint.HINT,type,"h, S, model, reconciliation, alias",,HINT
neuralforecast.models.hint.get_bottomup_P,function,S,,BottomUp Reconciliation Matrix.
neuralforecast.models.hint.get_identity_P,function,S,,
neuralforecast.models.hint.get_mintrace_ols_P,function,S,,MinTraceOLS Reconciliation Matrix.
neuralforecast.models.hint.get_mintrace_wls_P,function,S,,MinTraceOLS Reconciliation Matrix.
neuralforecast.models.iTransformer,type,"h, input_size, n_series, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, hidden_size, n_heads, e_layers, d_layers, d_ff, factor, dropout, use_norm, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,iTransformer
neuralforecast.models.informer.AttentionLayer,type,"attention, hidden_size, n_heads, d_keys, d_values",,Base class for all neural network modules.
neuralforecast.models.informer.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.informer.ConvLayer,type,c_in,,ConvLayer
neuralforecast.models.informer.DataEmbedding,type,"c_in, exog_input_size, hidden_size, pos_embedding, dropout",,Base class for all neural network modules.
neuralforecast.models.informer.Informer,type,"h, input_size, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, decoder_input_size_multiplier, hidden_size, dropout, factor, n_head, conv_hidden_size, activation, encoder_layers, decoder_layers, distil, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Informer
neuralforecast.models.informer.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.informer.ProbAttention,type,"mask_flag, factor, scale, attention_dropout, output_attention",,ProbAttention
neuralforecast.models.informer.ProbMask,type,"B, H, L, index, scores, device",,ProbMask
neuralforecast.models.informer.TransDecoder,type,"layers, norm_layer, projection",,Base class for all neural network modules.
neuralforecast.models.informer.TransDecoderLayer,type,"self_attention, cross_attention, hidden_size, conv_hidden_size, dropout, activation",,Base class for all neural network modules.
neuralforecast.models.informer.TransEncoder,type,"attn_layers, conv_layers, norm_layer",,Base class for all neural network modules.
neuralforecast.models.informer.TransEncoderLayer,type,"attention, hidden_size, conv_hidden_size, dropout, activation",,Base class for all neural network modules.
neuralforecast.models.itransformer.AttentionLayer,type,"attention, hidden_size, n_heads, d_keys, d_values",,Base class for all neural network modules.
neuralforecast.models.itransformer.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.itransformer.DataEmbedding_inverted,type,"c_in, hidden_size, dropout",,DataEmbedding_inverted
neuralforecast.models.itransformer.FullAttention,type,"mask_flag, factor, scale, attention_dropout, output_attention",,Base class for all neural network modules.
neuralforecast.models.itransformer.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.itransformer.TransEncoder,type,"attn_layers, conv_layers, norm_layer",,Base class for all neural network modules.
neuralforecast.models.itransformer.TransEncoderLayer,type,"attention, hidden_size, conv_hidden_size, dropout, activation",,Base class for all neural network modules.
neuralforecast.models.itransformer.iTransformer,type,"h, input_size, n_series, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, hidden_size, n_heads, e_layers, d_layers, d_ff, factor, dropout, use_norm, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,iTransformer
neuralforecast.models.kan.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.kan.KAN,type,"h, input_size, grid_size, spline_order, scale_noise, scale_base, scale_spline, enable_standalone_scale_spline, grid_eps, grid_range, n_hidden_layers, hidden_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, dataloader_kwargs, trainer_kwargs",,KAN
neuralforecast.models.kan.KANLinear,type,"in_features, out_features, grid_size, spline_order, scale_noise, scale_base, scale_spline, enable_standalone_scale_spline, base_activation, grid_eps, grid_range",,KANLinear
neuralforecast.models.kan.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.lstm.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.lstm.LSTM,type,"h, input_size, inference_input_size, h_train, encoder_n_layers, encoder_hidden_size, encoder_bias, encoder_dropout, context_size, decoder_hidden_size, decoder_layers, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, recurrent, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,LSTM
neuralforecast.models.lstm.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.lstm.MLP,type,"in_features, out_features, activation, hidden_size, num_layers, dropout",,Multi-Layer Perceptron Class
neuralforecast.models.mlp.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.mlp.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.mlp.MLP,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, num_layers, hidden_size, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,MLP
neuralforecast.models.mlpmultivariate.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.mlpmultivariate.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.mlpmultivariate.MLPMultivariate,type,"h, input_size, n_series, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, num_layers, hidden_size, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,MLPMultivariate
neuralforecast.models.nbeats.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.nbeats.IdentityBasis,type,"backcast_size, forecast_size, out_features",,Base class for all neural network modules.
neuralforecast.models.nbeats.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.nbeats.NBEATS,type,"h, input_size, n_harmonics, n_polynomials, n_basis, basis, stack_types, n_blocks, mlp_units, dropout_prob_theta, activation, shared_weights, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,NBEATS
neuralforecast.models.nbeats.NBEATSBlock,type,"input_size, n_theta, mlp_units, basis, dropout_prob, activation",,N-BEATS block which takes a basis function as an argument.
neuralforecast.models.nbeats.SeasonalityBasis,type,"harmonics, backcast_size, forecast_size, out_features",,Base class for all neural network modules.
neuralforecast.models.nbeats.TrendBasis,type,"n_basis, backcast_size, forecast_size, out_features, basis",,Base class for all neural network modules.
neuralforecast.models.nbeats.generate_changepoint_basis,function,"length, n_basis",,Generates changepoint basis functions with automatically spaced changepoints.
neuralforecast.models.nbeats.generate_chebyshev_basis,function,"length, n_basis",,Generates Chebyshev polynomial basis functions.
neuralforecast.models.nbeats.generate_legendre_basis,function,"length, n_basis",,Generates Legendre polynomial basis functions.
neuralforecast.models.nbeats.generate_linear_hat_basis,function,"length, n_basis",,
neuralforecast.models.nbeats.generate_piecewise_linear_basis,function,"length, n_basis",,Generates piecewise linear basis functions (linear splines).
neuralforecast.models.nbeats.generate_polynomial_basis,function,"length, n_basis",,Generates standard polynomial basis functions.
neuralforecast.models.nbeats.generate_spline_basis,function,"length, n_basis",,Generates cubic spline basis functions.
neuralforecast.models.nbeats.get_basis,function,"length, n_basis, basis",,
neuralforecast.models.nbeatsx.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.nbeatsx.ExogenousBasis,type,forecast_size,,Base class for all neural network modules.
neuralforecast.models.nbeatsx.IdentityBasis,type,"backcast_size, forecast_size, out_features",,Base class for all neural network modules.
neuralforecast.models.nbeatsx.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.nbeatsx.NBEATSBlock,type,"input_size, h, futr_input_size, hist_input_size, stat_input_size, n_theta, mlp_units, basis, dropout_prob, activation",,N-BEATS block which takes a basis function as an argument.
neuralforecast.models.nbeatsx.NBEATSx,type,"h, input_size, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, n_harmonics, n_polynomials, stack_types, n_blocks, mlp_units, dropout_prob_theta, activation, shared_weights, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,NBEATSx
neuralforecast.models.nbeatsx.SeasonalityBasis,type,"harmonics, backcast_size, forecast_size, out_features",,Base class for all neural network modules.
neuralforecast.models.nbeatsx.TrendBasis,type,"degree_of_polynomial, backcast_size, forecast_size, out_features",,Base class for all neural network modules.
neuralforecast.models.nhits.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.nhits.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.nhits.NHITS,type,"h, input_size, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, stack_types, n_blocks, mlp_units, n_pool_kernel_size, n_freq_downsample, pooling_mode, interpolation_mode, dropout_prob_theta, activation, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,NHITS
neuralforecast.models.nhits.NHITSBlock,type,"input_size, h, n_theta, mlp_units, basis, futr_input_size, hist_input_size, stat_input_size, n_pool_kernel_size, pooling_mode, dropout_prob, activation",,NHITS block which takes a basis function as an argument.
neuralforecast.models.nlinear.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.nlinear.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.nlinear.NLinear,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,NLinear
neuralforecast.models.patchtst.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.patchtst.Coord1dPosEncoding,function,"q_len, exponential, normalize",,
neuralforecast.models.patchtst.Coord2dPosEncoding,function,"q_len, hidden_size, exponential, normalize, eps",,
neuralforecast.models.patchtst.Flatten_Head,type,"individual, n_vars, nf, h, c_out, head_dropout",,Flatten_Head
neuralforecast.models.patchtst.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.patchtst.PatchTST,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, encoder_layers, n_heads, hidden_size, linear_hidden_size, dropout, fc_dropout, head_dropout, attn_dropout, patch_len, stride, revin, revin_affine, revin_subtract_last, activation, res_attention, batch_normalization, learn_pos_embed, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,PatchTST
neuralforecast.models.patchtst.PatchTST_backbone,type,"c_in, c_out, input_size, h, patch_len, stride, max_seq_len, n_layers, hidden_size, n_heads, d_k, d_v, linear_hidden_size, norm, attn_dropout, dropout, act, key_padding_mask, padding_var, attn_mask, res_attention, pre_norm, store_attn, pe, learn_pe, fc_dropout, head_dropout, padding_patch, pretrain_head, head_type, individual, revin, affine, subtract_last",,PatchTST_backbone
neuralforecast.models.patchtst.PositionalEncoding,function,"q_len, hidden_size, normalize",,
neuralforecast.models.patchtst.RevIN,type,"num_features, eps, affine, subtract_last, non_norm",,RevIN (Reversible-Instance-Normalization)
neuralforecast.models.patchtst.SinCosPosEncoding,function,"q_len, hidden_size, normalize",,
neuralforecast.models.patchtst.TSTEncoder,type,"q_len, hidden_size, n_heads, d_k, d_v, linear_hidden_size, norm, attn_dropout, dropout, activation, res_attention, n_layers, pre_norm, store_attn",,TSTEncoder
neuralforecast.models.patchtst.TSTEncoderLayer,type,"q_len, hidden_size, n_heads, d_k, d_v, linear_hidden_size, store_attn, norm, attn_dropout, dropout, bias, activation, res_attention, pre_norm",,TSTEncoderLayer
neuralforecast.models.patchtst.TSTiEncoder,type,"c_in, patch_num, patch_len, max_seq_len, n_layers, hidden_size, n_heads, d_k, d_v, linear_hidden_size, norm, attn_dropout, dropout, act, store_attn, key_padding_mask, padding_var, attn_mask, res_attention, pre_norm, pe, learn_pe",,TSTiEncoder
neuralforecast.models.patchtst.Transpose,type,"dims, contiguous",,Transpose
neuralforecast.models.patchtst.get_activation_fn,function,activation,,
neuralforecast.models.patchtst.positional_encoding,function,"pe, learn_pe, q_len, hidden_size",,
neuralforecast.models.rmok.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.rmok.JacobiKANLayer,type,"input_dim, output_dim, degree, a, b",,https://github.com/SpaceLearner/JacobiKAN/blob/main/JacobiKANLayer.py
neuralforecast.models.rmok.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.rmok.RMoK,type,"h, input_size, n_series, futr_exog_list, hist_exog_list, stat_exog_list, taylor_order, jacobi_degree, wavelet_function, dropout, revin_affine, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Reversible Mixture of KAN
neuralforecast.models.rmok.RevINMultivariate,type,"num_features, eps, affine, subtract_last, non_norm",,ReversibleInstanceNorm1d for Multivariate models
neuralforecast.models.rmok.TaylorKANLayer,type,"input_dim, out_dim, order, addbias",,https://github.com/Muyuzhierchengse/TaylorKAN/
neuralforecast.models.rmok.WaveKANLayer,type,"in_features, out_features, wavelet_type, with_bn, device",,This is a sample code for the simulations of the paper:
neuralforecast.models.rnn.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.rnn.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.rnn.MLP,type,"in_features, out_features, activation, hidden_size, num_layers, dropout",,Multi-Layer Perceptron Class
neuralforecast.models.rnn.RNN,type,"h, input_size, inference_input_size, h_train, encoder_n_layers, encoder_hidden_size, encoder_activation, encoder_bias, encoder_dropout, context_size, decoder_hidden_size, decoder_layers, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, recurrent, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,RNN
neuralforecast.models.softs.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.softs.DataEmbedding_inverted,type,"c_in, d_model, dropout",,Data Embedding
neuralforecast.models.softs.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.softs.SOFTS,type,"h, input_size, n_series, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, hidden_size, d_core, e_layers, d_ff, dropout, use_norm, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,SOFTS
neuralforecast.models.softs.STAD,type,"d_series, d_core",,STar Aggregate Dispatch Module
neuralforecast.models.softs.TransEncoder,type,"attn_layers, conv_layers, norm_layer",,Base class for all neural network modules.
neuralforecast.models.softs.TransEncoderLayer,type,"attention, hidden_size, conv_hidden_size, dropout, activation",,Base class for all neural network modules.
